"FullName","Length","LastWriteTime"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\21_ncmapss_static_dynamic_artifact_note.md","1122","7/5/2026 8:49:16 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\21_ncmapss_static_dynamic_raw_results.csv","2637","7/5/2026 8:47:19 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\21_ncmapss_static_dynamic_summary.json","1211","7/5/2026 8:47:20 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\21_uoh_ncmapss_static_dynamic_comparison.md","3926","7/5/2026 8:47:20 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\21_uoh_ncmapss_static_dynamic_comparison.tex","1372","7/5/2026 8:47:20 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\22_difference_gmm_results.csv","352","7/5/2026 8:58:39 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\22_dynamic_gmm_controlled_panel_preview.csv","2457","7/5/2026 8:58:37 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\22_dynamic_gmm_controlled_panel_summary.json","535","7/5/2026 8:58:37 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\22_dynamic_gmm_health_metrics.csv","424","7/5/2026 8:58:39 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\22_dynamic_gmm_instrument_architecture.csv","499","7/5/2026 8:58:39 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\22_dynamic_gmm_parity_artifact_note.md","1712","7/5/2026 8:58:39 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\22_dynamic_gmm_parity_status.json","942","7/5/2026 8:58:39 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\22_stata_difference_gmm_coefficients.csv","333","7/5/2026 10:20:59 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\22_stata_system_gmm_coefficients.csv","321","7/5/2026 10:20:59 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\22_stata_systemgmmkit_parity_comparison.csv","2224","7/5/2026 10:10:57 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\22_stata_systemgmmkit_parity_summary.csv","523","7/5/2026 10:10:57 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\22_stata_systemgmmkit_parity_summary.json","1513","7/5/2026 10:10:57 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\22_stata_systemgmmkit_parity_summary.md","1067","7/5/2026 10:10:57 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\22_stata_xtabond2_coefficients.csv","604","7/5/2026 10:20:59 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\22_stata_xtabond2_command_reference.txt","364","7/5/2026 8:58:39 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\22_stata_xtabond2_diagnostics.csv","370","7/5/2026 10:20:59 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\22_stata_xtabond2_parity_reference.do","9135","7/5/2026 10:09:02 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\22_system_gmm_results.csv","445","7/5/2026 8:58:39 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\22_uoh_dynamic_gmm_controlled_comparison.md","2191","7/5/2026 8:58:39 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\22_uoh_dynamic_gmm_controlled_comparison.tex","857","7/5/2026 8:58:39 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\ncmapss_ds01_artifact_note.md","790","7/5/2026 1:40:50 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\ncmapss_ds01_dev_unit_cycle_compact.csv","120201","7/5/2026 1:38:08 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\ncmapss_ds01_unit_cycle_summary.json","1000","7/5/2026 1:38:08 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\systemgmmkit_run_fixed_effects_spec_postestimation_smoke.csv","341","7/5/2026 8:42:50 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\systemgmmkit_run_fixed_effects_spec_results.csv","1079","7/5/2026 8:42:50 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\systemgmmkit_run_ols_spec_postestimation_smoke.csv","437","7/5/2026 8:42:50 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\systemgmmkit_run_ols_spec_results.csv","1118","7/5/2026 8:42:50 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\systemgmmkit_run_pooled_ols_spec_postestimation_smoke.csv","458","7/5/2026 8:42:50 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\systemgmmkit_run_pooled_ols_spec_results.csv","1181","7/5/2026 8:42:50 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\22_debug_workflow\difference_gmm_data.csv","131239","7/5/2026 9:46:46 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\22_debug_workflow\difference_gmm_generated_stata_command.txt","162","7/5/2026 9:46:46 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\22_debug_workflow\difference_gmm_result_frame.csv","338","7/5/2026 9:46:46 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\22_debug_workflow\difference_gmm_spec.txt","348","7/5/2026 9:46:46 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\22_debug_workflow\difference_gmm_workflow_attrs.json","3299","7/5/2026 9:46:46 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\22_debug_workflow\system_gmm_data.csv","131239","7/5/2026 9:46:47 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\22_debug_workflow\system_gmm_generated_stata_command.txt","152","7/5/2026 9:46:47 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\22_debug_workflow\system_gmm_result_frame.csv","426","7/5/2026 9:46:47 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\22_debug_workflow\system_gmm_spec.txt","343","7/5/2026 9:46:47 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\22_debug_workflow\system_gmm_workflow_attrs.json","3523","7/5/2026 9:46:47 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\24_maintained_xtabond2_parity\fod_difference_gmm_xtdpdgmm_certification.md","3007","6/15/2026 5:01:04 PM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\24_maintained_xtabond2_parity\README.md","916","7/5/2026 10:33:35 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\24_maintained_xtabond2_parity\strict_parity_results.csv","754","7/5/2026 10:32:57 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\24_maintained_xtabond2_parity\strict_parity_results.md","2315","7/5/2026 10:32:57 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\24_maintained_xtabond2_parity\system_gmm_xtabond2_parity.do","1205","7/5/2026 10:23:38 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\24_maintained_xtabond2_parity\xtabond2_native_system_gmm_coef_comparison.csv","887","7/5/2026 10:23:43 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\24_maintained_xtabond2_parity\xtabond2_native_system_gmm_diagnostics_comparison.csv","1094","7/5/2026 10:23:43 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\24_maintained_xtabond2_parity\xtabond2_system_gmm_diagnostics.csv","230","6/19/2026 8:01:45 PM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\24_maintained_xtabond2_parity\xtabond2_system_gmm_params.csv","97","6/19/2026 8:01:45 PM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\24_maintained_xtabond2_parity\xtabond2_system_gmm_parity_certificate.csv","479","7/5/2026 10:32:56 AM"
"C:\Users\omoko\OneDrive\Papers\Dynamic_Panel_Econometrics\Artifacts\Joss\tables\24_maintained_xtabond2_parity\xtabond2_system_gmm_parity_certificate.md","937","7/5/2026 10:32:57 AM"
